"","CASE#","PRIMARY DESCRIPTION","ARREST","LATITUDE","LONGITUDE"
"1","JD424989","HOMICIDE","N",41.761848394,-87.702741177
"2","JD448552","HOMICIDE","Y",41.67910436,-87.681113542
"3","JD455780","HOMICIDE","Y",41.79568265,-87.619250687
"4","JD425287","HOMICIDE","N",41.751583011,-87.650127802
"5","JD355518","HOMICIDE","Y",41.876949072,-87.736685059
"6","JD393235","HOMICIDE","N",41.871112926,-87.748055152
"7","JD419464","HOMICIDE","N",41.870828951,-87.716346436
"8","JE269018","HOMICIDE","N",41.781756818,-87.607217875
"9","JE154771","HOMICIDE","Y",41.73688603,-87.666741917
"10","JD322197","HOMICIDE","Y",41.744226478,-87.643855503
"11","JD314664","HOMICIDE","Y",41.734366796,-87.597496998
"12","JD426385","HOMICIDE","N",41.902738881,-87.718364581
"13","JD364412","HOMICIDE","N",41.780401475,-87.675142115
"14","JD364485","HOMICIDE","Y",41.883310937,-87.763293978
"15","JD364956","HOMICIDE","N",41.779188117,-87.682784152
"16","JD365391","HOMICIDE","N",41.889763017,-87.763365161
"17","JD364523","HOMICIDE","N",41.895682989,-87.652616066
"18","JD425614","HOMICIDE","N",41.784271981,-87.740346369
"19","JD364485","HOMICIDE","Y",41.883310937,-87.763293978
"20","JD426385","HOMICIDE","N",41.902738881,-87.718364581
"21","JE210365","HOMICIDE","Y",41.84157078,-87.713497173
"22","JD426429","HOMICIDE","N",42.00445423,-87.666932652
"23","JD419688","HOMICIDE","N",41.87342332,-87.735219792
"24","JD425636","HOMICIDE","N",41.875806202,-87.750872705
"25","JE112541","HOMICIDE","N",41.906827741,-87.755880834
"26","JE141079","HOMICIDE","N",41.755335821,-87.658715338
"27","JD457527","HOMICIDE","N",41.860183952,-87.706709735
"28","JD394445","HOMICIDE","Y",41.697295713,-87.614712135
"29","JD365439","HOMICIDE","N",41.783104769,-87.612090172
"30","JE266489","HOMICIDE","Y",41.812395165,-87.624545404
"31","JD366214","HOMICIDE","Y",41.677310769,-87.623873529
"32","JD366057","HOMICIDE","N",41.782707791,-87.660646744
"33","JD458309","HOMICIDE","N",41.798417673,-87.618644539
"34","JD382767","HOMICIDE","Y",41.772363591,-87.585053288
"35","JD396749","HOMICIDE","Y",41.841112189,-87.635917069
"36","JD364157","HOMICIDE","N",41.973308003,-87.655280009
"37","JD394573","HOMICIDE","N",41.882123956,-87.706153898
"38","JD427781","HOMICIDE","N",41.876196319,-87.723983712
"39","JD394559","HOMICIDE","N",41.878717176,-87.738427509
"40","JE178815","HOMICIDE","Y",41.928350067,-87.761224794
"41","JD424633","HOMICIDE","Y",41.8804407,-87.749684919
"42","JD428578","HOMICIDE","N",41.863472736,-87.710455229
"43","JE154771","HOMICIDE","Y",41.73688603,-87.666741917
"44","JD369840","HOMICIDE","Y",41.77464798,-87.781143133
"45","JD428133","HOMICIDE","N",41.721005667,-87.643202686
"46","JD395285","HOMICIDE","N",41.878486473,-87.730498121
"47","JD429677","HOMICIDE","Y",41.778567563,-87.730514586
"48","JD420053","HOMICIDE","N",41.880359783,-87.755935589
"49","JD429730","HOMICIDE","N",41.779304087,-87.67472071
"50","JD429711","HOMICIDE","N",41.688273899,-87.638617386
"51","JD418958","HOMICIDE","Y",41.876581037,-87.745137513
"52","JD396031","HOMICIDE","Y",41.852829615,-87.633569125
"53","JD366458","HOMICIDE","N",41.967164275,-87.661908762
"54","JD428578","HOMICIDE","N",41.863472736,-87.710455229
"55","JD367419","HOMICIDE","N",41.971988645,-87.718754305
"56","JD461201","HOMICIDE","N",41.65364899,-87.614590067
"57","JD389428","HOMICIDE","Y",41.679080457,-87.639539915
"58","JD430647","HOMICIDE","N",41.88023916,-87.765315233
"59","JE125583","HOMICIDE","N",41.856105476,-87.627164726
"60","JD366570","HOMICIDE","Y",41.895614042,-87.701037693
"61","JD457651","HOMICIDE","Y",41.810416202,-87.624490191
"62","JD368559","HOMICIDE","N",41.806172326,-87.669765401
"63","JD429662","HOMICIDE","N",41.924465814,-87.7283384
"64","JD302389","HOMICIDE","N",41.851761023,-87.705558672
"65","JE168295","HOMICIDE","N",41.904419476,-87.729956677
"66","JD396427","HOMICIDE","N",41.736886394,-87.624170849
"67","JE200533","HOMICIDE","N",41.844200287,-87.728518962
"68","JD462566","HOMICIDE","N",41.76625521,-87.574655369
"69","JE217202","HOMICIDE","N",41.889554831,-87.747086204
"70","JE269426","HOMICIDE","N",41.756106295,-87.642438283
